,type,area,bed,bath,toilet,price
472,terraced duplex,Lekki,4 ,4 ,5 ,3000000
473,flat / apartment,Ikoyi,2 ,2 ,3 ,7500000
474,flat / apartment,Ikoyi,2 ,2 ,3 ,18000000
475,flat / apartment,Oniru,3 ,4 ,4 ,5000000
476,flat / apartment,Ikoyi,5 ,5 ,6 ,15000000
477,terraced duplex,Lekki,4 ,4 ,5 ,4000000
478,flat / apartment,Iwaya,3 ,4 ,5 ,1500000
479,flat / apartment,Ikoyi,4 ,4 ,5 ,25000000
480,flat / apartment,Ikoyi,3 ,3 ,4 ,7500000
481,flat / apartment,Ikoyi,3 ,3 ,4 ,7000000
482,terraced duplex,Ikoyi,4 ,4 ,5 ,12000000
483,flat / apartment,Ikoyi,1 ,1 ,2 ,7000000
484,flat / apartment,Victoria Island,3 ,3 ,4 ,18000000
485,flat / apartment,Ikoyi,4 ,4 ,5 ,14000000
486,flat / apartment,Lekki,3 ,3 ,4 ,3800000
487,flat / apartment,Victoria Island,3 ,3 ,4 ,17000000
488,terraced duplex,Ikoyi,5 ,5 ,6 ,8000000
489,terraced duplex,Ikoyi,,,,10000000
490,terraced duplex,Ikoyi,3 ,3 ,4 ,10000000
491,flat / apartment,Oniru,3 ,3 ,4 ,4000000
492,flat / apartment,Gbagada,3 ,3 ,3 ,1400000
493,flat / apartment,Lekki,3 ,3 ,4 ,1800000
494,terraced duplex,Ikoyi,4 ,4 ,5 ,10000000
495,terraced duplex,Lekki,4 ,4 ,5 ,3000000
496,flat / apartment,Ikoyi,2 ,2 ,3 ,4500000
497,flat / apartment,Ikoyi,3 ,3 ,4 ,5000000
498,terraced duplex,Ikoyi,4 ,4 ,5 ,8500000
499,flat / apartment,Lekki,3 ,3 ,4 ,5000000
500,flat / apartment,Lekki,3 ,3 ,4 ,3500000
501,detached duplex,Ikoyi,5 ,5 ,6 ,15000000
502,flat / apartment,Ikoyi,2 ,2 ,3 ,3500000
503,terraced duplex,Ikoyi,3 ,3 ,4 ,16000000
504,terraced duplex,Lekki,5 ,5 ,6 ,6000000
505,flat / apartment,Lekki,2 ,2 ,3 ,2700000
506,flat / apartment,Ikoyi,4 ,4 ,5 ,10000000
507,flat / apartment,Lekki,3 ,3 ,4 ,2500000
508,flat / apartment,Ikoyi,3 ,2 ,3 ,7500000
509,terraced duplex,Lekki,5 ,5 ,6 ,7000000
510,terraced duplex,Lekki,5 ,5 ,6 ,5000000
511,flat / apartment,Ikoyi,3 ,3 ,4 ,13000000
512,flat / apartment,Ikoyi,3 ,3 ,4 ,9000000
513,terraced duplex,Ikoyi,4 ,4 ,5 ,10000000
514,flat / apartment,Lekki,3 ,3 ,4 ,3000000
515,detached duplex,Lekki,5 ,5 ,6 ,5500000
516,flat / apartment,Abule,3 ,3 ,4 ,33000000
517,semi detached duplex,Lekki,5 ,5 ,6 ,10000000
518,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
519,flat / apartment,Ikoyi,3 ,3 ,4 ,9000000
520,terraced duplex,Lekki,4 ,4 ,5 ,3500000
521,flat / apartment,Ikoyi,4 ,4 ,5 ,10000000
522,flat / apartment,Victoria Island,1 ,1 ,2 ,28000
523,flat / apartment,Ikoyi,3 ,4 ,4 ,13500000
524,flat / apartment,Ikoyi,4 ,4 ,5 ,11000000
525,terraced duplex,Lekki,4 ,4 ,5 ,4500000
526,flat / apartment,Oniru,1 ,1 ,2 ,1800000
527,terraced duplex,Ikoyi,4 ,4 ,5 ,12000000
528,flat / apartment,Lekki,2 ,2 ,3 ,2000000
529,terraced duplex,Ikoyi,4 ,4 ,5 ,14500000
530,flat / apartment,Ikoyi,4 ,4 ,5 ,8000000
531,flat / apartment,Oniru,2 ,2 ,3 ,5000000
532,flat / apartment,Victoria Island,4 ,4 ,5 ,10000000
533,flat / apartment,Ikoyi,3 ,3 ,4 ,20000000
534,flat / apartment,Lekki,3 ,3 ,4 ,2500000
535,flat / apartment,Ikoyi,3 ,3 ,4 ,12000000
536,flat / apartment,Ikoyi,3 ,3 ,4 ,9000000
537,flat / apartment,Ikoyi,3 ,3 ,4 ,11000000
538,detached duplex,Lekki,5 ,5 ,6 ,85000000
539,terraced duplex,Lekki,4 ,4 ,5 ,5000000
540,flat / apartment,Victoria Island,3 ,3 ,4 ,15000000
541,terraced duplex,Lekki,4 ,4 ,5 ,8000000
542,flat / apartment,Lekki,3 ,3 ,4 ,2600000
543,flat / apartment,Ikoyi,3 ,3 ,4 ,7000000
544,flat / apartment,Oniru,3 ,3 ,4 ,3800000
545,flat / apartment,Lekki,3 ,3 ,4 ,3500000
546,flat / apartment,Ikoyi,2 ,3 ,3 ,12000000
