,title,address,date_added,bed,bath,toilet,price
771,4 BEDROOM FLAT / APARTMENT FOR RENT,Lekki RightLekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 23 Jul 2020",4 beds,4 baths,5 Toilets,"120,000,000"
772,3 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 20 Aug 2020",3 beds,3 baths,4 Toilets,"10,000,000"
773,3 BEDROOM FLAT / APARTMENT FOR RENT,Adeniyi Jones Ikeja Lagos,"Updated 17 Nov 2020, Added 24 Jun 2020",3 beds,baths,Toilets,"13,000,000"
774,3 BEDROOM FLAT / APARTMENT FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 19 Jun 2020",3 beds,3 baths,4 Toilets,"6,000,000"
775,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,By the 2nd toll gate Lekki Lagos,"Updated 17 Nov 2020, Added 27 Jul 2020",4 beds,4 baths,5 Toilets,"3,800,000"
776,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Ikota Lekki Lagos,"Updated 17 Nov 2020, Added 26 Jul 2020",4 beds,4 baths,5 Toilets,"4,000,000"
777,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Jun 2020",4 beds,4 baths,5 Toilets,"8,000,000"
778,3 BEDROOM FLAT / APARTMENT FOR RENT,KajolaIbeju Lekki Lagos,"Updated 17 Nov 2020, Added 24 May 2020",3 beds,3 baths,4 Toilets,"800,000"
779,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 04 Jun 2020",4 beds,4 baths,5 Toilets,"9,000,000"
780,1 BEDROOM MINI FLAT SELF CONTAIN FLAT / APARTMENT FOR SALE,Taiye Olowu Street Off Victoria Arobieke. Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 08 Jun 2020",1 beds,1 baths,2 Toilets,"50,000,000"
781,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 05 Jun 2020",4 beds,4 baths,5 Toilets,"6,000,000"
782,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 21 Aug 2020",3 beds,3 baths,4 Toilets,"8,500,000"
783,2 BEDROOM FLAT / APARTMENT FOR RENT,Oba MUSA Estate Agungi Lekki Lagos,"Updated 17 Nov 2020, Added 11 Aug 2020",2 beds,2 baths,3 Toilets,"35,000,000"
784,2 BEDROOM FLAT / APARTMENT FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 11 May 2020",2 beds,2 baths,3 Toilets,"6,000,000"
785,3 BEDROOM FLAT / APARTMENT FOR RENT,Osapa London Lekki Lagos,"Updated 17 Nov 2020, Added 07 Sep 2020",3 beds,3 baths,4 Toilets,"2,500,000"
786,3 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Chevron Lekki Lagos,"Updated 17 Nov 2020, Added 28 May 2020",3 beds,3 baths,4 Toilets,"3,500,000"
787,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 28 Nov 2019",3 beds,4 baths,5 Toilets,"4,000,000"
788,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 07 Jun 2020",3 beds,3 baths,4 Toilets,"13,000,000"
789,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island RoadBanana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 28 Oct 2020",4 beds,4 baths,5 Toilets,"12,000,000"
790,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 11 Feb 2020",3 beds,3 baths,4 Toilets,"50,000"
791,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 04 Jun 2020",5 beds,5 baths,6 Toilets,"5,000,000"
792,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
793,2 BEDROOM FLAT / APARTMENT FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 21 Jul 2020",2 beds,2 baths,3 Toilets,"4,500,000"
794,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 16 Oct 2020",3 beds,3 baths,4 Toilets,"2,800,000"
795,4 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 28 Aug 2020",4 beds,4 baths,5 Toilets,"12,000,000"
796,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 08 Oct 2020",3 beds,3 baths,4 Toilets,"5,000,000"
797,7 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 28 Aug 2020",7 beds,7 baths,8 Toilets,"6,000,000"
798,4 BEDROOM HOUSE FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 09 Dec 2019",4 beds,4 baths,5 Toilets,"17,000,000"
799,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Chevron Lekki Lagos,"Updated 17 Nov 2020, Added 20 Oct 2020",4 beds,4 baths,5 Toilets,"3,000,000"
800,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Idado Lekki Lagos,"Updated 17 Nov 2020, Added 14 Sep 2020",4 beds,4 baths,5 Toilets,"4,000,000"
801,1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 27 Aug 2020",1 beds,1 baths,2 Toilets,"2,000,000"
802,5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE,... Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 06 Aug 2020",5 beds,6 baths,7 Toilets,"320,000,000"
803,5 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 08 Oct 2020",5 beds,5 baths,6 Toilets,"7,000,000"
804,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Ologolo Lekki Lagos,"Updated 17 Nov 2020, Added 17 Oct 2020",5 beds,5 baths,6 Toilets,"4,500,000"
805,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Right.Lekki Lagos,"Updated 17 Nov 2020, Added 24 Oct 2020",3 beds,3 baths,4 Toilets,"3,500,000"
806,2 BEDROOM FLAT / APARTMENT FOR RENT,Sam Shonibare Estate by Babatunde Street Ogunlana Surulere Lagos,"Updated 17 Nov 2020, Added 03 Aug 2020",2 beds,2 baths,2 Toilets,"1,200,000"
807,4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 26 May 2020",4 beds,4 baths,4 Toilets,"12,000,000"
808,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 07 Aug 2020",4 beds,4 baths,5 Toilets,"5,500,000"
809,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 29 Oct 2019",3 beds,3 baths,4 Toilets,"3,500,000"
810,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Ikota villa estateLekki Lagos,"Updated 17 Nov 2020, Added 08 Oct 2020",4 beds,4 baths,5 Toilets,"3,000,000"
811,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 11 May 2020",4 beds,4 baths,5 Toilets,"8,000,000"
812,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 15 Jan 2020",3 beds,3 baths,4 Toilets,"4,500,000"
813,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 28 Aug 2020",4 beds,4 baths,5 Toilets,"6,500,000"
814,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
815,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,IkoyiIkoyi Lagos,"Updated 17 Nov 2020, Added 29 Sep 2020",4 beds,4 baths,5 Toilets,"12,500,000"
816,WAREHOUSE COMMERCIAL PROPERTY FOR RENT,Isolo/Aswani Road Osolo Way Isolo Lagos,"Updated 17 Nov 2020, Added 28 Jan 2020",beds,baths,Toilets,"16,800,000"
817,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 15 Sep 2020",3 beds,3 baths,3 Toilets,"11,000,000"
818,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 11 Jul 2020",3 beds,3 baths,4 Toilets,"3,800,000"
819,2 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 13 Oct 2020",2 beds,2 baths,3 Toilets,"10,000,000"
820,4 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Oct 2019",4 beds,4 baths,5 Toilets,"12,000,000"
821,5 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 10 Aug 2020",5 beds,5 baths,6 Toilets,"7,000,000"
822,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 23 Jun 2020",3 beds,3 baths,4 Toilets,"150,000,000"
823,3 BEDROOM FLAT / APARTMENT FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 27 Nov 2019",3 beds,3 baths,4 Toilets,"70,000"
824,5 BEDROOM TERRACED DUPLEX HOUSE FOR SALE,... Ilasan Lekki Lagos,"Updated 17 Nov 2020, Added 16 Oct 2020",5 beds,5 baths,6 Toilets,"65,000,000"
825,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 02 Oct 2020",3 beds,3 baths,4 Toilets,"13,000,000"
826,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 07 Jun 2020",3 beds,3 baths,4 Toilets,"15,000,000"
827,2 BEDROOM FLAT / APARTMENT FOR RENT,Onipdede StreetLawanson Surulere Lagos,"Updated 17 Nov 2020, Added 15 Oct 2020",2 beds,2 baths,2 Toilets,"600,000"
828,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 08 Oct 2020",4 beds,4 baths,5 Toilets,"9,000,000"
829,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Right.Lekki Lagos,"Updated 17 Nov 2020, Added 24 Oct 2020",3 beds,3 baths,4 Toilets,"4,500,000"
830,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 11 Aug 2020",3 beds,3 baths,4 Toilets,"8,500,000"
831,COMMERCIAL PROPERTY FOR RENT,...Awolowo Road Ikoyi Lagos,"Updated 17 Nov 2020, Added 01 Sep 2020",0 beds,0 baths,3 Toilets,"5,500,000"
832,1 BEDROOM MINI FLAT STUDIO APARTMENT FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 27 Aug 2020",1 beds,1 baths,2 Toilets,"1,000,000"
833,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 06 Oct 2020",4 beds,5 baths,6 Toilets,"5,500,000"
834,COMMERCIAL PROPERTY FOR RENT,ALAUSA CBDAlausa Ikeja Lagos,"Updated 17 Nov 2020, Added 08 Sep 2020",beds,baths,4 Toilets,"20,000"
835,3 BEDROOM FLAT / APARTMENT FOR RENT,Ladipo Labinjo Crescent Bode Thomas Surulere Lagos,"Updated 17 Nov 2020, Added 13 Oct 2020",3 beds,3 baths,4 Toilets,"2,500,000"
836,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
837,3 BEDROOM FLAT / APARTMENT FOR RENT,...Ado Ajah Lagos,Added 17 Nov 2020,3 beds,0 baths,0 Toilets,"1,600,000"
838,4 BEDROOM FLAT / APARTMENT FOR RENT,Off Kingsway Ikoyi Lagos,"Updated 17 Nov 2020, Added 08 Sep 2020",4 beds,4 baths,5 Toilets,"10,000,000"
839,1 BEDROOM MINI FLAT OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Ajao estate Isolo. Lagos MainlandAjao Estate Isolo Lagos,"Updated 17 Nov 2020, Added 12 Oct 2020",1 beds,1 baths,1 Toilets,"500,000"
840,3 BEDROOM FLAT / APARTMENT FOR RENT,Off Olori Mojisola Onikoyi Avenue Ikoyi Lagos,"Updated 17 Nov 2020, Added 29 Jun 2020",3 beds,3 baths,4 Toilets,"6,500,000"
841,SELF CONTAIN FLAT / APARTMENT FOR RENT,Oke Afa Isolo.Lagos MainlandOke Afa Isolo Lagos,"Updated 17 Nov 2020, Added 28 Sep 2020",0 beds,0 baths,0 Toilets,"150,000"
842,3 BEDROOM FLAT / APARTMENT FOR RENT,Adeola Odeku Victoria Island Lagos,"Updated 17 Nov 2020, Added 08 Nov 2019",3 beds,3 baths,3 Toilets,"8,000,000"
843,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 19 Nov 2019",3 beds,3 baths,3 Toilets,"12,500,000"
844,4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Dec 2019",4 beds,4 baths,4 Toilets,"12,000,000"
845,3 BEDROOM FLAT / APARTMENT FOR RENT,...Ketu Kosofe Ikosi Lagos,"Updated 17 Nov 2020, Added 10 Oct 2020",3 beds,0 baths,0 Toilets,"750,000"
846,COMMERCIAL LAND LAND FOR SALE,"Fountain springville Estate, Sangotedo, lagos. Sangotedo Lagos","Updated 18 Nov 2020, Added 15 Sep 2020",beds,baths,Toilets,"450,000,000"
847,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 13 Dec 2019",3 beds,3 baths,3 Toilets,"18,000,000"
848,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,-Ogudu Gra Ogudu Lagos,"Updated 17 Nov 2020, Added 11 Nov 2020",4 beds,4 baths,5 Toilets,"3,200,000"
849,SELF CONTAIN FLAT / APARTMENT FOR RENT,Oke Afa Isolo. Lagos MainlandOke Afa Isolo Lagos,"Updated 17 Nov 2020, Added 28 Sep 2020",0 beds,0 baths,0 Toilets,"120,000"
850,2 BEDROOM FLAT / APARTMENT FOR RENT,...Gbagada Lagos,"Updated 17 Nov 2020, Added 29 Sep 2020",2 beds,0 baths,0 Toilets,"1,200,000"
851,3 BEDROOM FLAT / APARTMENT FOR RENT,Ogba Lagos,"Updated 17 Nov 2020, Added 26 Oct 2020",3 beds,baths,Toilets,"1,000,000"
852,4 BEDROOM FLAT / APARTMENT FOR RENT,Gbagada Lagos,"Updated 17 Nov 2020, Added 27 Oct 2020",4 beds,baths,Toilets,"2,800,000"
853,DETACHED DUPLEX HOUSE FOR RENT,Sabo Yaba Lagos,"Updated 17 Nov 2020, Added 14 Sep 2020",beds,4 baths,Toilets,"4,000,000"
854,3 BEDROOM TERRACED BUNGALOW HOUSE FOR RENT,-Phase 2 Gbagada Lagos,"Updated 17 Nov 2020, Added 11 Nov 2020",3 beds,3 baths,3 Toilets,"1,000,000"
855,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Ikota Lekki Lagos,"Updated 17 Nov 2020, Added 05 Nov 2020",4 beds,4 baths,5 Toilets,"4,000,000"
856,5 BEDROOM FLAT / APARTMENT FOR RENT,Magodo Kosofe Ikosi Lagos,"Updated 17 Nov 2020, Added 27 Oct 2020",5 beds,baths,Toilets,"4,000,000"
857,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Magodo Gra Phase 2 Kosofe Ikosi Lagos,"Updated 17 Nov 2020, Added 06 Nov 2020",5 beds,5 baths,6 Toilets,"4,500,000"
858,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
859,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 20 Oct 2020",3 beds,3 baths,4 Toilets,"4,000,000"
860,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 13 Oct 2019",3 beds,baths,Toilets,"13,000,000"
861,SEMI DETACHED DUPLEX HOUSE FOR RENT,Gbagada Lagos,"Updated 17 Nov 2020, Added 17 Sep 2020",beds,4 baths,Toilets,"2,500,000"
862,MINI FLAT FLAT / APARTMENT FOR RENT,Gbagada Lagos,"Updated 17 Nov 2020, Added 10 Nov 2020",beds,baths,Toilets,"700,000"
863,3 BEDROOM FLAT / APARTMENT FOR RENT,-Adekunle Yaba Lagos,"Updated 17 Nov 2020, Added 29 Oct 2020",3 beds,0 baths,0 Toilets,"1,800,000"
864,4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 25 Jun 2020",4 beds,4 baths,5 Toilets,"30,000,000"
865,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Oct 2020",4 beds,4 baths,5 Toilets,"7,000,000"
866,3 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Extension Victoria Island Lagos,"Updated 17 Nov 2020, Added 22 Dec 2019",3 beds,3 baths,3 Toilets,"10,000,000"
867,SHOP COMMERCIAL PROPERTY FOR RENT,Off Allen AvenueAllen Avenue Ikeja Lagos,"Updated 17 Nov 2020, Added 10 Sep 2020",beds,baths,Toilets,"400,000"
868,4 BEDROOM HOUSE FOR SHORTLET,"Mekunwen Road, Brains And Hammers Estate, Life Camp Abuja","Updated 17 Nov 2020, Added 08 Sep 2020",4 beds,4 baths,5 Toilets,"100,000"
869,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 17 Aug 2020",3 beds,3 baths,4 Toilets,"12,500,000"
870,3 BEDROOM FLAT / APARTMENT FOR RENT,Ajao estate IsoloAjao Estate Isolo Lagos,"Updated 17 Nov 2020, Added 01 Oct 2020",3 beds,3 baths,3 Toilets,"800,000"
871,3 BEDROOM FLAT / APARTMENT FOR RENT,...Gbagada Lagos,"Updated 17 Nov 2020, Added 21 Oct 2020",3 beds,0 baths,0 Toilets,"2,000,000"
872,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Okotie eboh Ikoyi Lagos,"Updated 17 Nov 2020, Added 12 Jun 2020",4 beds,4 baths,5 Toilets,"5,500,000"
873,2 BEDROOM MASSIONETTE HOUSE FOR RENT,1004 Victoria Island Lagos,"Updated 17 Nov 2020, Added 03 Sep 2020",2 beds,2 baths,3 Toilets,"5,000,000"
874,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 11 Nov 2019",5 beds,5 baths,5 Toilets,"9,000,000"
875,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 22 Sep 2020",3 beds,3 baths,4 Toilets,"5,000,000"
876,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 27 Jun 2020",3 beds,3 baths,4 Toilets,"9,000,000"
877,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Chevron lekki lagos state Nigeria Chevron Lekki Lagos,"Updated 17 Nov 2020, Added 24 Jun 2020",5 beds,5 baths,5 Toilets,"4,000,000"
878,3 BEDROOM FLAT / APARTMENT FOR RENT,...Akoka Yaba Lagos,"Updated 17 Nov 2020, Added 10 Oct 2020",3 beds,0 baths,0 Toilets,"1,500,000"
879,3 BEDROOM FLAT / APARTMENT FOR RENT,PedroPalmgroove Shomolu Lagos,"Updated 17 Nov 2020, Added 07 Oct 2020",3 beds,0 baths,0 Toilets,"1,400,000"
880,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
881,2 BEDROOM FLAT / APARTMENT FOR RENT,Shomolu Lagos,"Updated 17 Nov 2020, Added 05 Oct 2020",2 beds,baths,Toilets,"700,000"
882,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Dolphin Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 29 Aug 2020",4 beds,5 baths,6 Toilets,"7,000,000"
883,4 BEDROOM HOUSE FOR RENT,Off mojisola Avenue Ikoyi Lagos,"Updated 17 Nov 2020, Added 29 Jun 2020",4 beds,4 baths,5 Toilets,"8,000,000"
884,5 BEDROOM DETACHED BUNGALOW HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 03 Jul 2020",5 beds,5 baths,6 Toilets,"12,000,000"
885,3 BEDROOM FLAT / APARTMENT FOR RENT,Millenuim Ups Gbagada Lagos,"Updated 17 Nov 2020, Added 15 Nov 2020",3 beds,3 baths,4 Toilets,"1,500,000"
886,3 BEDROOM FLAT / APARTMENT FOR RENT,Gbagada Lagos,"Updated 17 Nov 2020, Added 14 Oct 2020",3 beds,baths,Toilets,"1,100,000"
887,3 BEDROOM FLAT / APARTMENT FOR RENT,Shomolu Shomolu Lagos,"Updated 17 Nov 2020, Added 01 Nov 2020",3 beds,baths,Toilets,"1,200,000"
888,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Dec 2019",3 beds,3 baths,3 Toilets,"6,000,000"
889,3 BEDROOM FLAT / APARTMENT FOR RENT,Ahmadu Bello Way Victoria Island Lagos,"Updated 17 Nov 2020, Added 12 Dec 2019",3 beds,3 baths,3 Toilets,"18,000,000"
890,4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE,Off Adelabu Surulere Lagos,"Updated 17 Nov 2020, Added 16 Oct 2020",4 beds,5 baths,5 Toilets,"67,000,000"
891,MINI FLAT FLAT / APARTMENT FOR RENT,Ifako Gbagada Gbagada Lagos,"Updated 17 Nov 2020, Added 06 Nov 2020",beds,baths,Toilets,"500,000"
892,4 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Lagos,"Updated 17 Nov 2020, Added 10 Oct 2020",4 beds,baths,Toilets,"3,500,000"
893,3 BEDROOM FLAT / APARTMENT FOR RENT,gerrard roadOld Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 16 Nov 2019",3 beds,3 baths,3 Toilets,"7,500,000"
894,SELF CONTAIN FLAT / APARTMENT FOR RENT,Bariga Shomolu Lagos,"Updated 17 Nov 2020, Added 04 Nov 2020",beds,baths,Toilets,"300,000"
895,3 BEDROOM FLAT / APARTMENT FOR RENT,...Omole Phase 1 Ojodu Lagos,"Updated 17 Nov 2020, Added 13 Oct 2020",3 beds,3 baths,4 Toilets,"2,200,000"
896,2 BEDROOM FLAT / APARTMENT FOR RENT,Ajao estate Isolo.Lagos MainlandAjao Estate Isolo Lagos,"Updated 17 Nov 2020, Added 08 Nov 2020",2 beds,2 baths,2 Toilets,"700,000"
897,2 BEDROOM FLAT / APARTMENT FOR RENT,...Onike Yaba Lagos,"Updated 17 Nov 2020, Added 06 Oct 2020",2 beds,0 baths,0 Toilets,"1,500,000"
898,1 BEDROOM MINI FLAT OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Ajao Estate Isolo.Lagos MainlandAjao Estate Isolo Lagos,"Updated 17 Nov 2020, Added 12 Oct 2020",1 beds,1 baths,1 Toilets,"400,000"
899,2 BEDROOM FLAT / APARTMENT FOR RENT,Shonibare Estate.Lagos MainlandShonibare Estate Maryland Lagos,"Updated 17 Nov 2020, Added 03 Nov 2020",2 beds,2 baths,3 Toilets,"2,000,000"
900,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 09 Sep 2020",5 beds,5 baths,6 Toilets,"16,000,000"
901,1 BEDROOM MINI FLAT SELF CONTAIN FLAT / APARTMENT FOR RENT,Akoka Yaba Lagos,"Updated 17 Nov 2020, Added 10 Nov 2020",1 beds,baths,Toilets,"500,000"
902,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
903,3 BEDROOM FLAT / APARTMENT FOR RENT,Ahmadu Bello Way Victoria Island Lagos,"Updated 17 Nov 2020, Added 31 Oct 2019",3 beds,baths,Toilets,"12,000,000"
904,3 BEDROOM FLAT / APARTMENT FOR RENT,old ikoyiOld Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 18 Dec 2019",3 beds,3 baths,3 Toilets,"10,000,000"
905,2 BEDROOM FLAT / APARTMENT FOR RENT,Ajao estate Isolo.Lagos MainlandAjao Estate Isolo Lagos,"Updated 17 Nov 2020, Added 27 Oct 2020",2 beds,2 baths,2 Toilets,"700,000"
906,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Kingsway roadIkoyi Lagos,"Updated 17 Nov 2020, Added 31 Oct 2019",5 beds,baths,Toilets,"20,000,000"
907,4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 19 Aug 2020",4 beds,4 baths,5 Toilets,"25,000,000"
908,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Ikota Lekki Lagos,"Updated 17 Nov 2020, Added 24 Oct 2020",5 beds,5 baths,6 Toilets,"4,000,000"
909,3 BEDROOM FLAT / APARTMENT FOR RENT,Eko Atlantic Victoria Island Lagos,"Updated 17 Nov 2020, Added 12 Nov 2019",3 beds,3 baths,3 Toilets,"12,000,000"
910,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 15 Aug 2020",4 beds,4 baths,5 Toilets,"15,000,000"
911,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 05 Sep 2020",4 beds,5 baths,6 Toilets,"15,000,000"
