,title,address,date_added,bed,bath,toilet,price
545,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Second TollgateLekki Lagos,"Updated 17 Nov 2020, Added 15 Oct 2020",4 beds,4 baths,5 Toilets,"3,500,000"
546,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Osapa London Lekki Lagos,"Updated 17 Nov 2020, Added 18 Jun 2020",4 beds,4 baths,5 Toilets,"4,500,000"
547,1 BEDROOM MINI FLAT SHOP COMMERCIAL PROPERTY FOR RENT,AgungiLekki Phase 2 Lekki Lagos,"Updated 17 Nov 2020, Added 01 Feb 2020",1 beds,1 baths,1 Toilets,"800,000"
548,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,IkoyiIkoyi Lagos,"Updated 17 Nov 2020, Added 17 Aug 2020",4 beds,4 baths,5 Toilets,"15,000,000"
549,3 BEDROOM MASSIONETTE HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 20 Aug 2020",3 beds,4 baths,4 Toilets,"9,000,000"
550,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
551,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Oct 2019",4 beds,4 baths,5 Toilets,"15,000,000"
552,2 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Right.Lekki Lagos,"Updated 17 Nov 2020, Added 15 Oct 2020",2 beds,2 baths,3 Toilets,"3,200,000"
553,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 13 Jan 2020",3 beds,3 baths,4 Toilets,"8,000,000"
554,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 15 Sep 2020",3 beds,3 baths,3 Toilets,"8,500,000"
555,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Ikota Lekki Lagos,"Updated 17 Nov 2020, Added 26 Jul 2020",3 beds,3 baths,4 Toilets,"2,800,000"
556,4 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 10 Aug 2020",4 beds,5 baths,6 Toilets,"12,000,000"
557,2 BEDROOM HOUSE FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 04 Sep 2020",2 beds,2 baths,3 Toilets,"4,500,000"
558,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 01 Sep 2020",4 beds,4 baths,5 Toilets,"6,500,000"
559,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 10 Jul 2020",3 beds,3 baths,4 Toilets,"80,000"
560,3 BEDROOM FLAT / APARTMENT FOR SALE,Yaba Gra Abule-Oja Yaba Lagos,"Updated 17 Nov 2020, Added 15 Mar 2020",3 beds,3 baths,4 Toilets,"45,000,000"
561,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 25 May 2020",4 beds,4 baths,5 Toilets,"10,000,000"
