,title,address,date_added,bedroom,bathroom,toilet,parking_space,price
138,1 bedroom flat for rent,"Igando Road, Ibeju Lekki, Lagos",Added on 16 Oct 2020,3,2,3,2,220000.00
139,Self contained (single rooms) for rent,"Osapa, Lekki, Lagos",Added on 01 Nov 2020,2,3,3,8,600000.00
140,Self contained (single rooms) for rent,"Idado, Lekki, Lagos",Added on 30 Oct 2020,3,1,4,2,600000.00
141,2 bedroom flat for rent,"Elf Axis, Lekki Phase 1, Lekki, Lagos",Added on 04 Nov 2020,4,3,1,10,2500000.00
142,3 bedroom flat for rent,"Behind Blenco Supermarket, Sangotedo, Ajah, Lagos",Added on 02 Nov 2020,2,1,3,1,1500000.00
143,3 bedroom flat for rent,"Osapa, Lekki, Lagos",Added on 06 Nov 2020,3,5,4,2,2200000.00
144,2 bedroom flat for rent,"Blenco, Sangotedo, Ajah, Lagos",Added on 06 Nov 2020,3,1,1,2,1100000.00
145,3 bedroom flat for rent,"Parkview, Ikoyi, Lagos",Added on 06 Oct 2020,4,3,4,2,7000000.00
146,3 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 25 Aug 2020,2,2,1,2,4000000.00
147,Self contained (single rooms) for rent,"By Dorren, Thomas Estate, Ajah, Lagos",Added on 06 Nov 2020,3,1,5,2,400000.00
148,3 bedroom flat for rent,"Lekki Phase 2, Lekki, Lagos",Added on 06 Nov 2020,3,3,1,1,1200000.00
149,2 bedroom flat for rent,"Ibs, Ajah, Lagos",Added on 06 Nov 2020,3,2,3,2,1200000.00
150,2 bedroom flat for rent,"Shangotedo, Ajah, Lagos",Added on 06 Nov 2020,3,3,3,3,1100000.00
151,3 bedroom flat for rent,"Lekki Scheme 2, Ajah, Lagos",Added on 06 Nov 2020,4,3,1,2,1500000.00
152,1 bedroom mini flat for rent,"Magodo - Shangisha, Magodo, Lagos",Added on 06 Nov 2020,4,4,3,6,650000.00
153,2 bedroom flat for rent,"Road 12 Ikota Villa Estate, Ikota, Lekki, Lagos",Added on 06 Nov 2020,3,3,3,1,1400000.00
154,3 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 06 Nov 2020,3,3,4,2,4500000.00
155,Self contained (single rooms) for rent,"Thomas Estate, Ajah, Lagos",Added on 06 Nov 2020,3,4,4,1,350000.00
156,3 bedroom flat for rent,"Peace Estate, Oregun, Ikeja, Lagos",Added on 06 Nov 2020,4,4,5,6,2500000.00
157,1 bedroom mini flat for rent,"Off Akerele Road, Surulere, Lagos",Added on 06 Nov 2020,4,2,4,1,700000.00
158,5 bedroom flat for rent,"GRA, Ogudu, Lagos",Added on 06 Nov 2020,3,1,3,1,4500000.00
159,Self contained (single rooms) for rent,"Thomas Estate, Ajah, Lagos",Added on 05 Oct 2020,3,3,4,1,350000.00
160,2 bedroom flat for rent,"Thera Peace Estate, Sangotedo, Ajah, Lagos",Added on 06 Nov 2020,3,3,5,1,1000000.00
161,2 bedroom flat for rent,"Adekanye Road Elemu Bucknor, Oke Afa, Isolo, Lagos",Added on 06 Nov 2020,3,4,2,2,500000.00
162,Self contained (single rooms) for rent,"United Estate, Sangotedo, Ajah, Lagos",Added on 06 Nov 2020,2,2,1,2,300000.00
163,2 bedroom flat for rent,"Ogudu, Lagos",Added on 29 Oct 2020,2,3,4,2,1000000.00
164,2 bedroom flat for rent,"Ogudu, Lagos",Added on 06 Nov 2020,2,3,4,1,1000000.00
165,3 bedroom flat for rent,"Orchid Hotel Road, Lekki, Lagos",Added on 14 Feb 2020,2,3,5,2,1400000.00
166,3 bedroom flat for rent,"Orchid Road, Lekki, Lagos",Added on 06 Jun 2020,2,3,3,8,1400000.00
167,4 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 06 Jun 2020,3,4,4,1,18000000.00
168,3 bedroom flat for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",Added on 17 Jun 2020,3,4,4,2,3500000.00
169,2 bedroom flat for rent,"Alatise Town, Alatise, Ibeju Lekki, Lagos",Added on 19 Jun 2020,3,3,4,8,450000.00
170,3 bedroom flat for rent,"Alagutan By Mobile Road, Ajah, Lagos",Added on 20 Jun 2020,3,3,4,8,1500000.00
171,4 bedroom flat for rent,"1004 Estate, Victoria Island (VI), Lagos",Added on 20 Jun 2020,4,4,5,2,4500000.00
172,2 bedroom flat for rent,"Victoria Island (VI), Lagos",Added on 20 Jun 2020,1,4,5,3,2500000.00
173,Self contained (single rooms) for rent,"Chevy View Estate, Lekki Expressway, Lekki, Lagos",Added on 06 Jul 2020,3,1,4,2,400000.00
174,3 bedroom flat for rent,"Victoria Island (VI), Lagos",Added on 04 Aug 2020,3,3,4,2,
175,3 bedroom flat for rent,"Ikoyi, Lagos",Added on 04 Aug 2020,2,3,5,1,7500000.00
176,4 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 06 Aug 2020,1,3,5,1,11000000.00
177,2 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 07 Aug 2020,3,3,1,2,8000000.00
178,3 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 07 Aug 2020,3,2,4,3,6000000.00
179,3 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 10 Aug 2020,3,2,4,1,15000000.00
180,3 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 10 Aug 2020,3,2,4,2,15000000.00
181,3 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 13 Aug 2020,2,2,4,4,13500000.00
182,4 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 20 Aug 2020,1,2,3,2,11000000.00
183,4 bedroom flat for rent,"Parkview, Ikoyi, Lagos",Added on 20 Aug 2020,1,3,3,1,10000000.00
184,3 bedroom flat for rent,"Victoria Island (VI), Lagos",Added on 21 Aug 2020,3,3,3,1,15000000.00
185,3 bedroom flat for rent,"Parkview, Ikoyi, Lagos",Added on 21 Aug 2020,3,3,3,1,5000000.00
186,3 bedroom flat for rent,"Victoria Island (VI), Lagos",Added on 07 Sep 2020,3,3,3,2,13000000.00
187,4 bedroom flat for rent,"Victoria Island (VI), Lagos",Added on 07 Sep 2020,3,4,4,2,16000000.00
188,4 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 06 Nov 2020,3,2,3,4,16000000.00
189,Self contained (single rooms) for rent,"By Dorren, Thomas Estate, Ajah, Lagos",Added on 09 Sep 2020,4,3,4,1,400000.00
190,3 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 15 Sep 2020,3,3,4,3,6500000.00
191,3 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 15 Sep 2020,2,1,5,2,10000000.00
192,3 bedroom flat for rent,"Victoria Island (VI), Lagos",Added on 18 Sep 2020,3,3,2,2,10000000.00
193,3 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 21 Sep 2020,1,1,4,2,10000000.00
194,2 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 06 Nov 2020,2,3,4,2,7000000.00
195,2 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 29 Sep 2020,2,3,1,2,12000000.00
196,2 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 13 Oct 2020,1,3,4,2,10000000.00
197,2 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 13 Oct 2020,3,2,1,2,7500000.00
198,2 bedroom flat for rent,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos",Added on 06 Nov 2020,3,1,4,7,2400000.00
199,3 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 06 Nov 2020,1,3,4,2,8000000.00
200,3 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 06 Nov 2020,2,1,4,2,8000000.00
201,3 bedroom flat for rent,"Ikoyi, Lagos",Added on 06 Nov 2020,2,3,2,7,11000000.00
202,3 bedroom flat for rent,"Ikoyi, Lagos",Added on 06 Nov 2020,1,2,2,1,12000000.00
203,4 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 06 Nov 2020,1,1,4,2,14000000.00
204,1 bedroom mini flat for rent,"Agungi, Lekki, Lagos",Added on 06 Nov 2020,3,1,1,5,800000.00
205,3 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 06 Nov 2020,4,3,1,6,
206,3 bedroom flat for rent,"Victoria Island (VI), Lagos",Added on 06 Nov 2020,2,3,4,3,15000000.00
207,2 bedroom flat for rent,"Victoria Island (VI), Lagos",Added on 06 Nov 2020,2,3,2,2,10000000.00
208,1 bedroom flat for rent,"Badore, Ajah, Lagos",Added on 06 Nov 2020,4,2,1,1,500000.00
209,3 bedroom flat for rent,"Off Mabo Street, Surulere, Lagos",Added on 31 May 2019,2,3,1,2,1100000.00
210,Self contained (single rooms) for rent,"By Dorren, Thomas Estate, Ajah, Lagos",Added on 06 Nov 2020,2,1,4,2,400000.00
211,3 bedroom flat for rent,"Agungi, Lekki, Lagos",Added on 06 Nov 2020,3,1,4,2,2600000.00
212,3 bedroom flat for rent,"Idado, Lekki, Lagos",Added on 02 Nov 2020,3,2,4,1,2300000.00
213,3 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 06 Nov 2020,1,3,4,1,10000000.00
214,2 bedroom flat for rent,"Awoyaya, Ibeju Lekki, Lagos",Added on 05 Nov 2020,3,1,3,2,500000.00
215,1 bedroom mini flat for rent,"Ayanusi Estate, Before Laspotech, Ikorodu, Lagos",Added on 06 Nov 2020,3,4,4,2,300000.00
216,1 bedroom mini flat for rent,"Alpha Beach Road, Igbo Efon, Lekki, Lagos",Added on 06 Nov 2020,3,2,1,2,800000.00
217,3 bedroom flat for rent,"Oniru, Victoria Island (VI), Lagos",Added on 06 Nov 2020,3,2,1,3,8000000.00
218,Self contained (single rooms) for rent,"Off Ajayi Road, Ikeja, Lagos",Added on 17 Jul 2020,3,2,3,3,250000.00
219,Self contained (single rooms) for rent,"Abule Oja, Yaba, Lagos",Added on 03 Nov 2020,3,2,3,6,2500000.00
220,3 bedroom flat for rent,"Maryland, Mende, Maryland, Lagos",Added on 06 Nov 2020,1,1,1,2,2500000.00
221,3 bedroom flat for rent,"Obadeyi Bus Stop, Ojokoro, Ifako-Ijaiye, Lagos",Added on 06 Nov 2020,2,3,4,8,500000.00
222,Self contained (single rooms) for rent,"After Agungi Bustop . Ologolo ., Lekki Expressway, Lekki, Lagos",Added on 06 Nov 2020,3,4,4,3,500000.00
223,Self contained (single rooms) for rent,"Folagoro, Yaba, Lagos",Added on 06 Nov 2020,1,2,2,1,350000.00
224,3 bedroom flat for rent,"Alpha Beach Road, Igbo Efon, Lekki, Lagos",Added on 06 Nov 2020,3,3,3,1,1700000.00
225,3 bedroom flat for rent,"Elf Bus Stop, Lekki, Lagos",Added on 06 Nov 2020,3,4,3,3,1800000.00
226,4 bedroom flat for rent,"Oniru, Victoria Island (VI), Lagos",Added on 04 Nov 2020,3,2,2,4,4000000.00
227,3 bedroom flat for rent,"Chisco Busstop, Ikate Elegushi, Lekki, Lagos",Added on 06 Nov 2020,3,2,2,2,3000000.00
228,2 bedroom flat for rent,"Medina, Gbagada, Lagos",Added on 06 Nov 2020,3,3,3,1,1300000.00
229,3 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 09 Sep 2020,3,2,5,2,14000000.00
230,1 bedroom flat for rent,"Itedo Estate, Off Freedom Way, Lekki Phase 1, Lekki, Lagos",Added on 06 Nov 2020,2,1,3,5,1500000.00
231,Self contained (single rooms) for rent,"By Dorren, Thomas Estate, Ajah, Lagos",Added on 06 Nov 2020,2,3,3,2,400000.00
232,2 bedroom flat for rent,"Adekunle Village Axis, Adeniyi Jones Avenue, Ikeja, Lagos",Added on 06 Nov 2020,2,3,5,1,1300000.00
233,2 bedroom flat for rent,"Oribanwa Phase Ii, Oribanwa, Ibeju Lekki, Lagos",Added on 02 Nov 2020,3,3,3,3,700000.00
234,1 bedroom mini flat for rent,"Off Ijesha Road By Baruwa Bus Stop, Ijesha, Surulere, Lagos",Added on 06 Nov 2020,4,3,3,1,450000.00
235,3 bedroom flat for rent,"Alatise Town, Ibeju Lekki, Lagos",Added on 06 Nov 2020,3,3,4,1,500000.00
236,3 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 06 Nov 2020,3,3,3,5,15000000.00
